season,x,y,made_shot
2003-04,-202,187,1
2003-04,166,202,1
2003-04,144,227,0
2003-04,0,109,1
2003-04,232,0,1
2003-04,49,49,1
2003-04,128,35,0
2003-04,-131,53,0
2003-04,-172,99,0
2003-04,75,23,1
2003-04,89,26,0
2003-04,233,20,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,64,99,1
2003-04,136,84,1
2003-04,97,148,0
2003-04,-82,252,0
2003-04,-141,148,0
2003-04,0,0,1
2003-04,112,227,0
2003-04,-146,214,0
2003-04,64,71,0
2003-04,0,0,1
2003-04,130,133,0
2003-04,-235,31,0
2003-04,0,0,1
2003-04,-113,132,1
2003-04,117,105,1
2003-04,16,191,1
2003-04,10,10,1
2003-04,-8,206,0
2003-04,-61,13,0
2003-04,-11,2,1
2003-04,112,0,0
2003-04,11,54,0
2003-04,-238,-28,0
2003-04,-2,22,0
2003-04,10,5,0
2003-04,113,22,0
2003-04,138,202,0
2003-04,54,18,0
2003-04,167,202,0
2003-04,-141,49,1
2003-04,-228,-9,0
2003-04,84,10,1
2003-04,133,110,1
2003-04,105,164,0
2003-04,-31,15,0
2003-04,228,91,0
2003-04,233,-13,1
2003-04,0,3,1
2003-04,89,8,1
2003-04,-237,-3,1
2003-04,140,128,1
2003-04,-11,187,1
2003-04,-128,210,0
2003-04,228,0,1
2003-04,0,0,0
2003-04,228,22,1
2003-04,-238,0,1
2003-04,140,212,0
2003-04,0,0,1
2003-04,-133,174,1
2003-04,112,166,0
2003-04,112,41,0
2003-04,0,0,1
2003-04,85,464,0
2003-04,-212,33,1
2003-04,-80,2,1
2003-04,-122,40,0
2003-04,0,204,1
2003-04,87,168,0
2003-04,-90,243,0
2003-04,15,56,0
2003-04,0,0,0
2003-04,-95,91,0
2003-04,23,68,0
2003-04,161,202,0
2003-04,54,270,0
2003-04,107,135,0
2003-04,103,31,1
2003-04,-6,257,0
2003-04,-33,5,0
2003-04,-2,20,0
2003-04,-28,5,1
2003-04,120,51,0
2003-04,-128,12,0
2003-04,1,105,0
2003-04,130,22,1
2003-04,126,61,0
2003-04,-16,0,0
2003-04,199,153,1
2003-04,-82,28,1
2003-04,97,-21,1
2003-04,-148,207,0
2003-04,-89,148,0
2003-04,-33,10,0
2003-04,-13,-1,0
2003-04,-33,12,1
2003-04,38,12,0
2003-04,3,10,0
2003-04,236,-28,0
2003-04,18,13,0
2003-04,-28,8,1
2003-04,-233,-23,0
2003-04,190,-34,0
2003-04,-171,35,1
2003-04,0,26,1
2003-04,-2,118,0
2003-04,-2,3,1
2003-04,6,-6,0
2003-04,-6,0,1
2003-04,10,-3,1
2003-04,-138,38,1
2003-04,-112,38,0
2003-04,28,23,1
2003-04,-21,7,1
2003-04,95,86,0
2003-04,141,-19,1
2003-04,15,-11,1
2003-04,-13,-5,1
2003-04,13,-8,0
2003-04,0,-3,1
2003-04,-6,5,1
2003-04,3,-3,1
2003-04,-71,230,0
2003-04,-230,41,0
2003-04,3,8,1
2003-04,-145,41,1
2003-04,-25,5,1
2003-04,-214,-26,1
2003-04,-102,191,1
2003-04,-5,102,1
2003-04,107,71,0
2003-04,148,197,0
2003-04,-5,36,1
2003-04,-156,8,1
2003-04,-95,130,0
2003-04,-117,26,0
2003-04,-16,35,0
2003-04,164,-8,0
2003-04,-21,3,1
2003-04,-61,61,0
2003-04,-151,184,0
2003-04,-5,5,0
2003-04,90,232,0
2003-04,-16,189,0
2003-04,-102,91,0
2003-04,0,0,1
